,id,name,flower_lang,info,type,native,flower,date,month,refine_native
0,31608,향나무,영원한 향기,"향나무는 상록침엽수로 우리나라에서 가장 오래 사는 나무 중의 하나이다. 예로부터 마음을 담아 기원을 하는 나무로 소중히 여겨왔으며 관상, 약용, 향료, 조각재 등으로 널리 이용되어 왔다. 목질도 단단하려니와 목재의 향과 색이 일품인 이유로 보인다. 울릉도 도동에 사는 향나무는 2,500년생으로 세계에서 가장 오래된 것으로 전해지고 있다.","측백나무과 향나무속에 속하며 전국에 자생 또는 식재되어 있다. 종류는 자생하거나 흔히 심겨져 있는 향나무, 줄기가 누운 형태로 자라는 눈향나무, 고산지대에서만 자라는 곱향나무, 가지가 수평으로 퍼지는 뚝향나무, 북아메리카원산인 연필향나무 그리고 가지가 나선모양으로 돌아가는 가이쓰가향나무가 있으며 주로 이용되는 것은 가이쓰가향나무와 연필향나무다.","울릉도, 의성, 삼척, 영월 등에 자생 및 전국에 식재","개화기는 4월, 암수딴그루, 수꽃은 타원형이며, 길이 2.8~5.1mm이고, 연한 자갈색이며, 인편의 안쪽에 4~6개의 꽃밥이 있다. 암꽃은 구형이고, 길이는 1.5mm 정도이며, 밖에 4개의 황록색 인편이 있고, 안쪽에는 2쌍의 실편이 있다. 화분은 크기가 30μm 정도이며, 발아구는 화분립 표면에 렌즈형으로 발달하며, 화분체의 표면은 과립상의 돌기물들이 분포한다.",4월,[4],전국
1,29259,나도풍란,인내,"남부지역의 바위나 나무에 붙어사는 난이다. 보통 풍란 하면 소엽풍란을 말한다. 나도풍란은 잎이 넓은 대엽풍란이다. 자연 상태에서는 6년 정도가 지나야 꽃을 피우는데, 그 향기가 진하여 취할 정도로 좋다. 꽃말은 바닷가의 바위에 붙어 모진 풍파를 이겨내며 자라기 때문에 붙여진 듯 하다.","난과의 상록다년초이다. 히말라야, 말레이시아, 스리랑카, 일본, 중국 등에서 자생한다. 우리나라에서는 제주와 전남, 남해안의 따뜻한 섬지방에서 자생하나 지금은 멸종위기에 놓여있다. 원예연구기관에서 조직배양묘를 생산하여 자생지 복원사업을 추진하여 성공단계에 와 있다.",일본 / 한국(전라남도 신안군) ,꽃은 6-8월에 피고 연한 녹백색이며 꽃대는 옆에서 나오고 길이 5-12cm로서 4-10개의 꽃이 총상으로 달린다. 포는 달걀모양이며 길이 4~5mm로서 끝이 둔하고 꽃받침조각은 긴 타원형이며 길이 11~13mm로서 끝이 둔하다. 꽃잎은 꽃받침보다 짧고 입술모양꽃부리는 꽃받침과 길이가 비슷하며 3개로 갈라지고 거꿀달걀모양에 원두이다. 측열편은 작고 중앙열편은 도란상 쐐기모양이며 끝이 둥글고 빗살같은 톱니가 있으며 측열편과 더불어 연한 홍색 반점이 있다. 거(距)는 통같고 안으로 굽는다.,6-8월,"[6, 7, 8]",전남
3,31638,삼나무,"견고, 자신감",상록성 교목으로 원래 우리 땅에 나던 것은 아니다. 일본이 고향인데 우리나라에서는 남부지역에서 많이 재배된다. 어떠한 세찬 바람에도 넘어지지 않고 하늘을 찌를 듯이 우뚝 서 있는 그 모습이 견고해 보이고 자신감이 충만해 보인다.,"낙우송과 삼나무속이며 원산지는 중국, 일본으로 지구상에 딱 한 종이 분포하며, 몇 가지 품종이 개발되어 있다.","경남, 전남 이남 및 제주도 등에서 식재","개화기는 3월, 암수한그루, 수꽃은 타원형이다. 길이는 3.6~6.4(10)mm이고, 포에 4~5개의 꽃밥이 달린다. 암꽃은 구형이며, 뾰족한 자록색 포가 있다. 화분은 크기가 25~28μm 정도이고, 발아구가 뚜렷하게 원뿔형으로 1개가 발달한다. 화분체의 표면은 유두상 돌기물들이 분포한다.
",3월,[3],전남 경남 제주
4,29134,수선화,"자만심, 자존심, 자신만을 사랑하다",수선화의 유래를 보면 그리스신화에 나오는 미소년 나르시스(나르키소스)가 제 모습에 반하여 죽어 꽃이 되었다하니 그 정도의 자존심이면 꽃이 고개를 들만도 한데 꽃은 늘 땅을 바라보고 있다. 꽃 모양은 은 접시에 금잔이 놓여있는 듯 아름답고 향기도 강하다. 아름답고 똑똑한 것도 좋지만 너무 지나치면 결국 자기도취에 빠져 헤어날 수 없음을 가르쳐 주는 듯 하다.,"수선화과에 속하며 세계적으로 약 50종이 분포하는데 알뿌리류가 대부분이지만 숙근성인 것들도 있다. 적응범위가 넓어 해안가로부터 산 중턱에 이르기까지 널리 분포하지만 주로 초원지대에 자생한다. 유럽과 북아프리카가 주요 원산지이며, 우리나라에도 제주에서 자생한다. 수선화는 종에 따라 화형이 다른 것들이 많아 꽃의 모양을 기준으로 Trumpet, Large-cupped, Small-cupped, Double, Triandrus, Cyclamineus 등 총 12개의 형으로 구분한다. 수선화의 영명은 'Daffodil'이다.",제주도에 분포한다. 관상용으로 재배한다.,"꽃은 12-3월에 피며 판통은 길이 18-20mm, 꽃대는 높이 20-40cm이고 포는 막질이며 길이 5-6.5cm이고 꽃봉오리를 감싸며 화경 끝에 5-6개의 꽃이 옆을 향해 달린다. 꽃자루는 길이 4-8cm이고 화피열편은 6개로서 둥글지만 끝이 뾰족하며 길이 14-15mm이고 백색이며 하부는 긴 통상이다. 덧꽃부리는 높이 4mm로서 황색이다. 수술은 6개가 덧꽃부리 밑에 붙어 있고 수술대는 길이 1mm이며 꽃밥은 길이 3mm로서 T자형으로 붙어 있다. 암술대는 덧꽃부리와 길이가 비슷하다. 씨방은 하위이며 녹색이고 3실이다.",12-3월,"[12, 1, 2, 3]",제주
6,26858,우묵사스레피,기억 속에 새기다.,남해의 세찬 바닷바람에도 잘 견디는 늘 푸른 나무이다. 뒤로 약간 말려들어간 동그랗고 작은 잎도 귀엽지만 열매가 쥐똥같이 생겼다 하여 섬 지방에서는 섬쥐똥나무라고도 부른다.,"차나무과에 속하는 상록성 관목이다. 세계적으로 아시아 동남부 및 태평양 열도를 중심으로 약 70종이 자생한다. 우리나라에서는 주로 제주지역이나 남부해안가에 자생하며, 유사종으로 사스레피나무, 거제도에 나는 섬사스레피나무, 잎이 넓고 두꺼운 떡사스레피나무 등이 있다.","중국과 대만,일본,인도 등지; 전라남도 및 경상남도 남쪽 해안과 섬.","꽃은 1 ~ 3개씩 달려 11월 중순에 피고, 지름 4 ~ 5mm로 연한 황록색이고 작은포는 둥글고 매우 작고 꽃받침조각은 2개이며 편원형이고 길이 1.5~2mm로서 털이 없으며 가장자리가 막질이고 꽃잎은 달걀형이며 길이 2mm이고 암술대는 길이 1mm이다.",11월,[11],전남 경남
7,25869,앵초,번영,"물결치는 듯이 곱슬거리는 잎이 인상적인 앵초는 전형적인 한국의 자생화다. 물론 우리와 자연환경이 비슷한 중국이나 일본지역에서도 자생한다. <br><br>
<br><br>
","앵초과의 다년생 초본이며 지구상에 500종이상 분포하는 전형적인 온대성식물이다. 우리나라에는 앵초, 키가 큰 큰앵초, 작은 설앵초, 좀앵초 등이 습기가 좀 있는 반그늘진 곳에 자생하고 있다.","한국, 일본, 중국 동부, 시베리아 등지에 분포한다.
전국 각처의 산지에 난다.",꽃은 4월에 피며 홍자색이고 꽃대는 높이 15-40cm로서 털이 있으며 끝에 7-20개의 꽃이 산형으로 달리고 총포조각은 피침형이며 꽃자루는 길이 2-3cm로서 돌기같은 털이 산생한다. 꽃받침은 통형이고 길이 8-12mm로서 5개로 갈라지며 열편은 피침형이고 끝이 뾰족하며 꽃받침 길이의 1/2-2/3이다. 꽃부리는 지름 2-3cm이고 판통은 길이 10-13mm로서 끝이 5개로 갈라져서 수평으로 퍼지며 끝이 파진다.,4월,[4],전국
9,34734,팔손이,"분별, 비밀",손이 여덟 개가 아니고 넓은 잎이 여덟 갈래로 갈라져 있는 것처럼 보여서 팔손이나무라 불린다. 언뜻 보면 외국의 관엽식물로 착각하기 쉬우나 우리 자생식물 중의 하나로 거제도나 남해 등 남부 해안가 주변이 고향이다. 잎 모양이 넓어 시원한 느낌을 주며 상록성이기 때문에 연중 관상이 가능하다. 음이온 발생도 많아 실내식물로 우수하다.,두릅나무과에 속하는 상록성관목이다. 세계적으로 아시아 동부지역에 단 2-3종이 분포하는 희귀종이지만 아열대의 온화한 기후조건에서 생육이 왕성하기 때문에 널리 자생한다. 우리나라의 남부지역이나 제주도에 자생한다.,일본; 경상남도 남해도(미륵)와 거제도(맥도)에 분포.,"우상모양꽃차례는 가지 끝에 모여서 원뿔모양꽃차례를 이루며 길이와 폭이 각 20 ~ 40cm × 5 ~ 8cm이고, 꽃은 지름이 5mm로 유백색이며 5수이고, 꽃받침열편이 뚜렷하고, 10월 ~ 11월에 개화한다.",10월 ~ 11월,"[10, 11]",경남
11,23136,호랑가시나무,보호," 크리스마스카드를 보면 빨간 열매를 달고 잎 끝이 가시 같은 잎으로 장식된 그림이 빠지지 않고 나온다. 바로 서양호랑가시나무인데, 오늘의 꽃은 우리나라에 자생하는 호랑가시나무이다. 잎 끝이 뾰족한 것이 호랑이의 발톱을 닮아서 붙여진 것으로 보이며, 꽃말도 가시가 침입자로부터 자신을 지킨다는 뜻에서 붙여진 듯 하다.","감탕나무과의 상록성 관목이다. 세계적으로 약 400종이 있으며 상록성은 물론 낙엽성인 것들도 많다. 우리나라에 나는 것으로 유사종은 주로 제주에 자생하는 먼나무, 꽝꽝나무, 좀꽝꽝나무 등이 있다.","중국 북부 ~ 남부 / 전라남북도, 제주도.","꽃은 암수딴그루 또는 잡성주로 4 ~ 5월에 피고 지름 7mm로 향기가 있으며, 우상모양꽃차례는 꽃이 5 ~ 6개씩 달리고 꽃대 길이 5 ~ 6mm로 털이 없다.  암술은 암술대가 없고 암술머리가 약간 높아져서 4갈래로 갈라진다.",4 ~ 5월,"[4, 5]",전남 제주 전북
12,28668,굴거리나무,자리를 내어줌,제주에 가면 아래로 젖혀진 넓고 긴 잎과 빙둘러난 잎자루가 유난히 붉은 빛을 띠어 꽃으로 착각하기도 하는 나무가 있는데 바로 굴거리나무이다. 길고 두꺼운 잎이 마치 고무나무와도 비슷하여 혹시 외래종인가 하는 착각도 든다.,대극과에 속하는 상록성 관목으로 아시아 동부지역을 중심으로 15종이 분포한다. 우리나라는 내장산과 남부해안 및 제주지역에 자생한다.,"중국; 전라남북도, 제주도, 충청남도 안면도, 전북의 내장산, 울릉도에 분포.","꽃은 암수한그루로, 3 ~ 4월에 개화하며 녹색이 돌고, 화피가 없으며 길이 2.5cm의 총상꽃차례로 잎겨드랑이에 달리고, 수꽃은 8 ~ 10개의 수술이 있으며, 암꽃은 약간 둥근 씨방에 2개의 암술대가 있고, 헛수술 발달했다.",3 ~ 4월,"[3, 4]",제주 전북 충남 전남
13,23130,꽝꽝나무,굳은 의지,제주의 어느 식물원에 갔을 때 수형이 잘 다듬어진 울타리가 있어 회양목인줄 알았는데 자세히 보니 꽝꽝나무였다. 산굼부리 오르는 길 양쪽의 탄탄한 생울타리도 바로 이 꽝꽝나무로 만들어진 것이다. 나무줄기가 단단하여 붙여진 이름과 꽃말인 듯싶다.,"감탕나무과에 속하는 상록활엽관목이다. 세계적으로 약 400종이 있으며 상록성은 물론 낙엽성인 것들도 많다. 우리나라에 나는 것으로 유사종은 주로 제주에 자생하는 먼나무, 호랑가시나무, 좀꽝꽝나무 등이 있다.","중국, 대만, 일본; 제주도, 전라남북도, 경상남도.","꽃은 암수딴그루로, 7월 초에 개화하며, 수꽃은 짧은 총상 또는 복총상꽃차례로 3 ~ 7개씩 달리며 퇴화된 암술이 있으며, 암꽃은 잎겨드랑이에 1개씩 달리고, 꽃대가 길며 퇴화된 4개의 수술과 1개의 4실인 씨방이 있다.",7월,[7],제주 전북 경남 전남
